Actual Wavelengths,Predicted Wavelengths
444.08127459114854,487.0987571854579
618.195107495944,651.6375807297081
588.2131356102992,597.9337898377553
514.4387101205367,539.8868223299253
456.5515428264905,474.32748831551214
562.0019991124186,560.200509443699
551.2614191811948,538.3587009167792
475.1495220819696,489.7669288459485
466.2965617875934,451.71146647499
512.9833484117243,601.8413870542336
511.1288202377232,556.2087848420607
463.6488941380858,519.7754253646106
459.6820861700347,468.87100899549426
582.0455968504493,632.0233850342742
565.8365180204325,581.8016123163018
545.0623704781453,539.6376493461172
448.4534660173425,475.5528261560516
811.4085811188739,586.4303071746418
562.1979705080112,544.8138881900179
537.9662578714598,504.5506124809712
512.4270076990571,461.0931996514624
756.8871065276188,680.4711309863923
593.6332318004021,613.3402650580767
576.3863476427989,577.4417329607388
432.9465330789165,499.42008504601336
593.160646298201,714.9687560902557
558.0347101243617,651.4339261734872
539.7606634878863,610.9848750923463
444.9103924964266,507.67719708152634
581.0444280615988,671.9862240931154
573.2772425885129,614.5133263415172
573.2354095794708,572.6520361440801
451.3089575089877,490.3789136900244
551.7446645653912,666.5258648721871
520.0542634927892,584.6778069286047
464.21164970724425,525.9876356724058
448.8864072957066,483.0395514797185
783.9978111062393,662.1281434965134
645.949655038992,595.8895365517576
616.7397475313217,554.01934633972
477.71158091102063,489.91288033128114
821.9933564063326,672.2868706706208
729.9181171662959,619.6797314765562
702.8692286502011,584.2791214631196
604.4447867751416,496.99000470657415
541.0646069213947,684.118070525331
535.491750516534,613.3491945385036
487.4922070220345,580.1620476844746
433.0962101744829,500.9844381718105
567.7781364529212,661.0771589098393
561.8271549138334,605.213049818522
542.6117264100411,564.5258052386906
455.4330496358303,486.86188533192626
656.542117151021,631.7764099543433
622.4443186404698,583.3543160237261
570.1847305076353,539.738689095395
529.5240133472662,475.44029580864003
581.5200878205168,699.952142558585
547.0741931027135,638.7888138618632
545.1947702736596,586.3926074189883
462.64375263671224,495.6420416002256
886.0973914997287,537.8799735001173
673.5272544822762,508.2359144677921
